Timestamp,RunningValidators,StoppedValidators
2023-06-09 01:00:30,3,1
2023-06-09 01:01:00,3,1
2023-06-09 01:01:30,2,2
2023-06-09 01:02:00,2,2
2023-06-09 01:02:30,3,1
2023-06-09 01:03:00,4,0
2023-06-09 01:03:30,3,1
2023-06-09 01:04:00,3,1
2023-06-09 01:04:30,2,2
2023-06-09 01:05:00,2,2
2023-06-09 01:05:30,3,1
2023-06-09 01:06:00,4,0
2023-06-09 01:06:30,4,0
2023-06-09 01:07:00,3,1
2023-06-09 01:07:30,3,1
2023-06-09 01:08:00,2,2
2023-06-09 01:08:30,3,1
2023-06-09 01:09:00,3,1
2023-06-09 01:09:30,2,2
2023-06-09 01:10:00,2,2
2023-06-09 01:10:30,3,1
2023-06-09 01:11:00,3,1
2023-06-09 01:11:30,2,2
2023-06-09 01:12:00,1,3
2023-06-09 01:12:30,2,2
2023-06-09 01:13:00,2,2
2023-06-09 01:13:30,3,1
2023-06-09 01:14:00,3,1
2023-06-09 01:14:30,2,2
2023-06-09 01:15:00,2,2
2023-06-09 01:15:30,3,1
2023-06-09 01:16:00,4,0
2023-06-09 01:16:30,4,0
2023-06-09 01:17:00,3,1
2023-06-09 01:17:30,3,1
2023-06-09 01:18:00,2,2
2023-06-09 01:18:30,3,1
2023-06-09 01:19:00,3,1
2023-06-09 01:19:30,2,2
2023-06-09 01:20:00,2,2
2023-06-09 01:20:30,3,1
2023-06-09 01:21:00,3,1
2023-06-09 01:21:30,2,2
2023-06-09 01:22:00,2,2
2023-06-09 01:22:30,3,1
2023-06-09 01:23:00,4,0
2023-06-09 01:23:30,3,1
2023-06-09 01:24:00,3,1
2023-06-09 01:24:30,2,2
2023-06-09 01:25:00,2,2
2023-06-09 01:25:30,3,1
2023-06-09 01:26:00,4,0
2023-06-09 01:26:30,4,0
2023-06-09 01:27:00,3,1
2023-06-09 01:27:30,3,1
2023-06-09 01:28:00,2,2
2023-06-09 01:28:30,3,1
2023-06-09 01:29:00,3,1
2023-06-09 01:29:30,2,2
2023-06-09 01:30:00,2,2
2023-06-09 01:30:30,3,1
2023-06-09 01:31:00,3,1
2023-06-09 01:31:30,2,2
2023-06-09 01:32:00,2,2
2023-06-09 01:32:30,3,1
2023-06-09 01:33:00,4,0
2023-06-09 01:33:30,3,1
2023-06-09 01:34:00,3,1
2023-06-09 01:34:30,2,2
2023-06-09 01:35:00,2,2
2023-06-09 01:35:30,3,1
2023-06-09 01:36:00,4,0
2023-06-09 01:36:30,4,0
2023-06-09 01:37:00,3,1
2023-06-09 01:37:30,3,1
2023-06-09 01:38:00,2,2
2023-06-09 01:38:30,3,1
2023-06-09 01:39:00,3,1
2023-06-09 01:39:30,2,2
2023-06-09 01:40:00,2,2
2023-06-09 01:40:30,3,1
2023-06-09 01:41:00,3,1
2023-06-09 01:41:30,2,2
2023-06-09 01:42:00,1,3
2023-06-09 01:42:30,2,2
2023-06-09 01:43:00,2,2
2023-06-09 01:43:30,3,1
2023-06-09 01:44:00,3,1
2023-06-09 01:44:30,2,2
2023-06-09 01:45:00,2,2
2023-06-09 01:45:30,3,1
2023-06-09 01:46:00,4,0
2023-06-09 01:46:30,4,0
2023-06-09 01:47:00,3,1
2023-06-09 01:47:30,3,1
2023-06-09 01:48:00,2,2
2023-06-09 01:48:30,3,1
2023-06-09 01:49:00,3,1
2023-06-09 01:49:30,2,2
2023-06-09 01:50:00,2,2
2023-06-09 01:50:30,3,1
2023-06-09 01:51:00,3,1
2023-06-09 01:51:30,2,2
2023-06-09 01:52:00,2,2
2023-06-09 01:52:30,3,1
2023-06-09 01:53:00,4,0
2023-06-09 01:53:30,3,1
2023-06-09 01:54:00,3,1
2023-06-09 01:54:30,2,2
2023-06-09 01:55:00,2,2
2023-06-09 01:55:30,3,1
2023-06-09 01:56:00,4,0
2023-06-09 01:56:30,4,0
2023-06-09 01:57:00,3,1
2023-06-09 01:57:30,3,1
2023-06-09 01:58:00,2,2
2023-06-09 01:58:30,3,1
2023-06-09 01:59:00,3,1
2023-06-09 01:59:30,2,2
2023-06-09 02:00:00,2,2
2023-06-09 02:00:30,3,1
2023-06-09 02:01:00,3,1
2023-06-09 02:01:30,2,2
2023-06-09 02:02:00,2,2
2023-06-09 02:02:30,3,1
2023-06-09 02:03:00,4,0
2023-06-09 02:03:30,3,1
2023-06-09 02:04:00,3,1
2023-06-09 02:04:30,2,2
2023-06-09 02:05:00,2,2
2023-06-09 02:05:30,3,1
2023-06-09 02:06:00,4,0
2023-06-09 02:06:30,4,0
2023-06-09 02:07:00,3,1
2023-06-09 02:07:30,3,1
2023-06-09 02:08:00,2,2
2023-06-09 02:08:30,3,1
2023-06-09 02:09:00,3,1
2023-06-09 02:09:30,2,2
2023-06-09 02:10:00,2,2
2023-06-09 02:10:30,3,1
2023-06-09 02:11:00,3,1
2023-06-09 02:11:30,2,2
2023-06-09 02:12:00,1,3
2023-06-09 02:12:30,2,2
2023-06-09 02:13:00,2,2
2023-06-09 02:13:30,3,1
2023-06-09 02:14:00,3,1
2023-06-09 02:14:30,2,2
2023-06-09 02:15:00,2,2
2023-06-09 02:15:30,3,1
2023-06-09 02:16:00,4,0
2023-06-09 02:16:30,4,0
2023-06-09 02:17:00,3,1
2023-06-09 02:17:30,3,1
2023-06-09 02:18:00,2,2
2023-06-09 02:18:30,3,1
2023-06-09 02:19:00,3,1
2023-06-09 02:19:30,2,2
2023-06-09 02:20:00,2,2
2023-06-09 02:20:30,3,1
2023-06-09 02:21:00,3,1
2023-06-09 02:21:30,2,2
2023-06-09 02:21:30,2,2
2023-06-09 02:22:00,1,3
2023-06-09 02:22:30,2,2
2023-06-09 02:23:00,2,2
2023-06-09 02:23:30,3,1
2023-06-09 02:24:00,3,1
2023-06-09 02:24:30,2,2
2023-06-09 02:25:00,2,2
2023-06-09 02:25:30,3,1
2023-06-09 02:26:00,4,0
2023-06-09 02:26:30,4,0
2023-06-09 02:27:00,3,1
2023-06-09 02:27:30,3,1
2023-06-09 02:28:00,2,2
2023-06-09 02:28:30,3,1
2023-06-09 02:29:00,3,1
2023-06-09 02:29:30,2,2
2023-06-09 02:30:00,2,2
2023-06-09 02:30:30,2,2
2023-06-09 02:31:00,3,1
2023-06-09 02:31:30,4,0
2023-06-09 02:32:00,3,1
2023-06-09 02:32:30,3,1
2023-06-09 02:33:00,3,1
2023-06-09 02:33:30,2,2
2023-06-09 02:34:00,2,2
2023-06-09 02:34:30,3,1
2023-06-09 02:35:00,4,0
2023-06-09 02:35:30,4,0
2023-06-09 02:36:00,3,1
2023-06-09 02:36:30,3,1
2023-06-09 02:37:00,3,1
2023-06-09 02:37:30,2,2
2023-06-09 02:38:00,2,2
2023-06-09 02:38:30,3,1
2023-06-09 02:39:00,3,1
2023-06-09 02:39:30,2,2
2023-06-09 02:40:00,2,2
2023-06-09 02:40:30,2,2
2023-06-09 02:41:00,3,1
2023-06-09 02:41:30,4,0
2023-06-09 02:42:00,3,1
2023-06-09 02:42:30,3,1
2023-06-09 02:43:00,2,2
2023-06-09 02:43:30,2,2
2023-06-09 02:44:00,3,1
2023-06-09 02:44:30,4,0
2023-06-09 02:45:00,4,0
2023-06-09 02:45:30,3,1
2023-06-09 02:46:00,3,1
2023-06-09 02:46:30,2,2
2023-06-09 02:47:00,2,2
2023-06-09 02:47:30,2,2
2023-06-09 02:48:00,3,1
2023-06-09 02:48:30,4,0
2023-06-09 02:49:00,4,0
2023-06-09 02:49:30,3,1
2023-06-09 02:50:00,3,1
2023-06-09 02:50:30,2,2
2023-06-09 02:51:00,2,2
2023-06-09 02:51:30,2,2
2023-06-09 02:52:00,3,1
2023-06-09 02:52:30,4,0
2023-06-09 02:53:00,4,0
2023-06-09 02:53:30,3,1
2023-06-09 02:54:00,3,1
2023-06-09 02:54:30,2,2
2023-06-09 02:55:00,2,2
2023-06-09 02:55:30,2,2
2023-06-09 02:56:00,3,1
2023-06-09 02:56:30,4,0
2023-06-09 02:57:00,4,0
2023-06-09 02:57:30,3,1
2023-06-09 02:58:00,3,1
2023-06-09 02:58:30,2,2
2023-06-09 02:59:00,2,2
2023-06-09 02:59:30,2,2
2023-06-09 03:00:00,3,1
2023-06-09 03:00:30,4,0
2023-06-09 03:01:00,4,0
2023-06-09 03:01:30,3,1
2023-06-09 03:02:00,3,1
2023-06-09 03:02:30,2,2
2023-06-09 03:03:00,2,2
2023-06-09 03:03:30,2,2
2023-06-09 03:04:00,3,1
2023-06-09 03:04:30,4,0
2023-06-09 03:05:00,4,0
2023-06-09 03:05:30,3,1
2023-06-09 03:06:00,3,1
2023-06-09 03:06:30,2,2
2023-06-09 03:07:00,2,2
2023-06-09 03:07:30,2,2
2023-06-09 03:08:00,3,1
2023-06-09 03:08:30,4,0
2023-06-09 03:09:00,4,0
2023-06-09 03:09:30,3,1
2023-06-09 03:10:00,3,1
2023-06-09 03:10:30,2,2
2023-06-09 03:11:00,2,2
2023-06-09 03:11:30,2,2
2023-06-09 03:12:00,3,1
2023-06-09 03:12:30,4,0
2023-06-09 03:13:00,4,0
2023-06-09 03:13:30,3,1
2023-06-09 03:14:00,3,1
2023-06-09 03:14:30,2,2
2023-06-09 03:15:00,2,2
2023-06-09 03:15:30,2,2
2023-06-09 03:16:00,3,1
2023-06-09 03:16:30,4,0
2023-06-09 03:17:00,4,0
2023-06-09 03:17:30,3,1
2023-06-09 03:18:00,3,1
2023-06-09 03:18:30,2,2
2023-06-09 03:19:00,2,2
2023-06-09 03:19:30,2,2
2023-06-09 03:20:00,3,1
2023-06-09 03:20:30,4,0
2023-06-09 03:21:00,4,0
2023-06-09 03:21:30,3,1
2023-06-09 03:22:00,2,2
2023-06-09 03:22:30,2,2
2023-06-09 03:23:00,2,2
2023-06-09 03:23:30,2,2
2023-06-09 03:24:00,3,1
2023-06-09 03:24:30,4,0
2023-06-09 03:25:00,4,0
2023-06-09 03:25:30,3,1
2023-06-09 03:26:00,3,1
2023-06-09 03:26:30,2,2
2023-06-09 03:27:00,2,2
2023-06-09 03:27:30,2,2
2023-06-09 03:28:00,3,1
2023-06-09 03:28:30,4,0
2023-06-09 03:29:00,4,0
2023-06-09 03:29:30,3,1
2023-06-09 03:30:00,3,1
2023-06-09 03:30:30,2,2
2023-06-09 03:31:00,2,2
2023-06-09 03:31:30,2,2
2023-06-09 03:32:00,3,1
2023-06-09 03:32:30,4,0
2023-06-09 03:33:00,4,0
2023-06-09 03:33:30,3,1
2023-06-09 03:34:00,3,1
2023-06-09 03:34:30,2,2
2023-06-09 03:35:00,2,2
2023-06-09 03:35:30,2,2
2023-06-09 03:36:00,3,1
2023-06-09 03:36:30,4,0
2023-06-09 03:37:00,4,0
2023-06-09 03:37:30,3,1
2023-06-09 03:38:00,3,1
2023-06-09 03:38:30,2,2
2023-06-09 03:39:00,2,2
2023-06-09 03:39:30,2,2
2023-06-09 03:40:00,3,1
2023-06-09 03:40:30,4,0
2023-06-09 03:41:00,4,0
2023-06-09 03:41:30,3,1
2023-06-09 03:42:00,3,1
2023-06-09 03:42:30,2,2
2023-06-09 03:43:00,2,2
2023-06-09 03:43:30,2,2
2023-06-09 03:44:00,3,1
2023-06-09 03:44:30,4,0
2023-06-09 03:45:00,4,0
2023-06-09 03:45:30,3,1
2023-06-09 03:46:00,3,1
2023-06-09 03:46:30,2,2
2023-06-09 03:47:00,2,2
2023-06-09 03:47:30,2,2
2023-06-09 03:48:00,3,1
2023-06-09 03:48:30,4,0
2023-06-09 03:49:00,4,0
2023-06-09 03:49:30,3,1
2023-06-09 03:50:00,3,1
2023-06-09 03:50:30,2,2
2023-06-09 03:51:00,2,2
2023-06-09 03:51:30,2,2
2023-06-09 03:52:00,3,1
2023-06-09 03:52:30,4,0
2023-06-09 03:53:00,4,0
2023-06-09 03:53:30,3,1
2023-06-09 03:54:00,3,1
2023-06-09 03:54:30,2,2
2023-06-09 03:55:00,2,2
2023-06-09 03:55:30,2,2
2023-06-09 03:56:00,3,1
2023-06-09 03:56:30,4,0
2023-06-09 03:57:00,4,0
2023-06-09 03:57:30,3,1
2023-06-09 03:58:00,3,1
2023-06-09 03:58:30,2,2
2023-06-09 03:59:00,2,2
2023-06-09 03:59:30,2,2
2023-06-09 04:00:00,3,1
2023-06-09 04:00:30,4,0
2023-06-09 04:01:00,4,0
2023-06-09 04:01:30,3,1
2023-06-09 04:02:00,3,1
2023-06-09 04:02:30,2,2
2023-06-09 04:03:00,2,2
2023-06-09 04:03:30,2,2
2023-06-09 04:04:00,3,1
2023-06-09 04:04:30,4,0
2023-06-09 04:05:00,4,0
2023-06-09 04:05:30,3,1
2023-06-09 04:06:00,3,1
2023-06-09 04:06:30,2,2
2023-06-09 04:07:00,2,2
2023-06-09 04:07:30,2,2
2023-06-09 04:08:00,3,1
2023-06-09 04:08:30,4,0
2023-06-09 04:09:00,4,0
2023-06-09 04:09:30,3,1
2023-06-09 04:10:00,3,1
2023-06-09 04:10:30,2,2
2023-06-09 04:11:00,2,2
2023-06-09 04:11:30,2,2
2023-06-09 04:12:00,3,1
2023-06-09 04:12:30,4,0
2023-06-09 04:13:00,4,0
2023-06-09 04:13:30,3,1
2023-06-09 04:14:00,3,1
2023-06-09 04:14:30,2,2
2023-06-09 04:15:00,2,2
2023-06-09 04:15:30,2,2
2023-06-09 04:16:00,3,1
2023-06-09 04:16:30,4,0
2023-06-09 04:17:00,4,0
2023-06-09 04:17:30,3,1
2023-06-09 04:18:00,3,1
2023-06-09 04:18:30,2,2
2023-06-09 04:19:00,2,2
2023-06-09 04:19:30,2,2
2023-06-09 04:20:00,3,1
2023-06-09 04:20:30,4,0
2023-06-09 04:21:00,4,0
2023-06-09 04:21:30,3,1
